age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;nr.employed;subscribed
60;self-employed;married;professional.course;yes;no;telephone;jun;fri;4.0;nonexistent;1.4;94.465;-41.8;5228.1;no
31;blue-collar;divorced;basic.9y;yes;no;cellular;may;tue;2.0;failure;-1.8;92.893;-46.2;5099.1;no
28;admin.;single;university.degree;no;no;cellular;oct;mon;1.0;success;-1.1;94.601;-49.5;4963.6;yes
30;admin.;single;university.degree;yes;no;cellular;nov;tue;1.0;nonexistent;-3.4;92.649;-30.1;5017.5;no
32;unknown;married;basic.6y;no;no;telephone;may;tue;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
46;technician;married;professional.course;yes;no;cellular;apr;thu;2.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
43;blue-collar;married;basic.4y;no;yes;cellular;may;thu;2.0;success;-1.8;92.893;-46.2;5099.1;yes
35;admin.;divorced;university.degree;yes;no;cellular;nov;fri;3.0;failure;-0.1;93.2;-42.0;5195.8;no
43;blue-collar;married;basic.4y;yes;no;telephone;may;tue;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
30;technician;divorced;high.school;yes;yes;telephone;jun;tue;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
38;technician;single;high.school;yes;yes;cellular;aug;mon;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
40;admin.;married;high.school;yes;no;cellular;nov;tue;1.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
45;blue-collar;married;professional.course;no;no;cellular;oct;tue;1.0;nonexistent;-3.4;92.431;-26.9;5017.5;no
56;management;married;university.degree;yes;no;cellular;nov;wed;2.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
39;blue-collar;married;basic.9y;yes;yes;cellular;may;tue;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
56;blue-collar;divorced;high.school;no;no;telephone;nov;fri;1.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
39;management;married;university.degree;yes;no;cellular;apr;fri;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;no
26;blue-collar;married;basic.9y;no;no;cellular;may;thu;1.0;failure;-1.8;92.893;-46.2;5099.1;no
59;retired;married;basic.6y;yes;no;cellular;may;mon;6.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
46;housemaid;divorced;basic.4y;no;yes;cellular;jul;tue;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
64;retired;married;high.school;yes;no;cellular;apr;fri;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;no
44;technician;single;university.degree;yes;no;cellular;aug;wed;6.0;nonexistent;1.4;93.444;-36.1;5228.1;no
34;technician;married;professional.course;yes;no;cellular;aug;thu;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
51;blue-collar;married;basic.4y;no;no;cellular;may;thu;1.0;failure;-1.8;92.893;-46.2;5099.1;no
42;blue-collar;married;basic.4y;no;no;telephone;may;tue;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
31;blue-collar;divorced;basic.9y;no;no;cellular;nov;wed;3.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
37;entrepreneur;married;basic.9y;no;no;cellular;may;mon;2.0;failure;-1.8;92.893;-46.2;5099.1;no
58;admin.;married;high.school;yes;yes;cellular;aug;tue;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
29;services;single;high.school;yes;no;cellular;jul;wed;3.0;nonexistent;1.4;93.918;-42.7;5228.1;no
22;technician;single;professional.course;yes;no;cellular;dec;mon;1.0;nonexistent;-3.0;92.713;-33.0;5023.5;yes
36;admin.;single;high.school;yes;no;cellular;apr;fri;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;no
29;admin.;single;university.degree;yes;no;telephone;may;wed;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
47;services;married;basic.9y;yes;no;cellular;aug;thu;4.0;nonexistent;1.4;93.444;-36.1;5228.1;no
51;services;single;high.school;yes;no;telephone;may;thu;4.0;nonexistent;1.1;93.994;-36.4;5191.0;no
35;blue-collar;married;professional.course;yes;no;cellular;jul;wed;2.0;nonexistent;1.4;93.918;-42.7;5228.1;no
92;retired;divorced;unknown;no;no;cellular;may;wed;3.0;failure;-1.8;93.876;-40.0;5008.7;yes
41;housemaid;married;high.school;yes;no;telephone;nov;fri;1.0;nonexistent;-0.1;93.2;-42.0;5195.8;yes
33;admin.;single;university.degree;yes;no;cellular;apr;fri;2.0;nonexistent;-1.8;93.075;-47.1;5099.1;no
47;blue-collar;married;basic.4y;no;no;cellular;aug;mon;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
40;admin.;single;basic.9y;no;no;cellular;jul;mon;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
30;technician;married;professional.course;yes;no;cellular;mar;tue;1.0;nonexistent;-1.8;93.369;-34.8;5008.7;yes
32;blue-collar;single;basic.9y;no;no;cellular;nov;thu;5.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
29;admin.;single;high.school;yes;no;cellular;jul;fri;2.0;nonexistent;1.4;93.918;-42.7;5228.1;no
30;blue-collar;divorced;basic.9y;no;no;telephone;may;tue;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
39;services;single;high.school;yes;yes;telephone;jun;mon;1.0;nonexistent;1.4;94.465;-41.8;5228.1;yes
32;services;married;high.school;no;no;cellular;may;thu;2.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
27;admin.;single;university.degree;no;no;telephone;jun;fri;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
38;housemaid;married;basic.6y;yes;no;telephone;may;fri;4.0;nonexistent;1.1;93.994;-36.4;5191.0;no
40;blue-collar;married;basic.9y;unknown;unknown;telephone;nov;thu;1.0;nonexistent;-0.1;93.2;-42.0;5195.8;yes
51;blue-collar;married;professional.course;yes;no;cellular;dec;wed;3.0;nonexistent;-3.0;92.713;-33.0;5023.5;yes
33;unemployed;married;university.degree;yes;no;cellular;jun;mon;3.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
26;admin.;married;high.school;no;no;cellular;jun;wed;1.0;nonexistent;-1.7;94.055;-39.8;4991.6;no
29;services;married;high.school;yes;no;cellular;nov;thu;4.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
59;housemaid;married;basic.4y;no;yes;telephone;jun;mon;1.0;nonexistent;1.4;94.465;-41.8;5228.1;no
49;unknown;married;high.school;yes;no;telephone;may;tue;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
40;blue-collar;married;basic.9y;no;no;telephone;jun;thu;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
42;admin.;married;high.school;yes;no;telephone;may;tue;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
52;retired;married;high.school;yes;no;cellular;aug;fri;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
55;retired;married;basic.9y;no;no;telephone;may;mon;1.0;failure;-1.8;92.893;-46.2;5099.1;no
35;technician;married;high.school;no;no;cellular;jul;wed;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
32;technician;married;professional.course;no;no;cellular;may;fri;2.0;failure;-1.8;92.893;-46.2;5099.1;no
44;housemaid;married;basic.9y;no;no;telephone;may;fri;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
32;blue-collar;married;professional.course;yes;no;telephone;jul;fri;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
39;admin.;married;university.degree;yes;no;cellular;aug;thu;1.0;failure;-2.9;92.201;-31.4;5076.2;no
32;admin.;married;university.degree;no;no;cellular;jun;tue;1.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
44;technician;married;professional.course;yes;no;cellular;sep;tue;1.0;success;-3.4;92.379;-29.8;5017.5;yes
51;entrepreneur;married;basic.4y;no;no;telephone;may;tue;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
29;services;married;high.school;no;yes;cellular;may;wed;2.0;failure;-1.8;92.893;-46.2;5099.1;yes
29;blue-collar;married;basic.9y;yes;yes;cellular;nov;wed;1.0;failure;-0.1;93.2;-42.0;5195.8;no
50;housemaid;married;basic.4y;yes;no;telephone;nov;tue;2.0;nonexistent;-0.1;93.2;-42.0;5195.8;yes
53;management;divorced;university.degree;no;no;cellular;jun;mon;1.0;nonexistent;-1.7;94.055;-39.8;4991.6;yes
26;self-employed;single;university.degree;no;no;cellular;may;wed;1.0;success;-1.8;92.893;-46.2;5099.1;no
37;management;married;university.degree;no;no;telephone;jun;tue;1.0;nonexistent;1.4;94.465;-41.8;5228.1;no
32;services;married;professional.course;no;no;cellular;jun;wed;6.0;nonexistent;-2.9;92.963;-40.8;5076.2;no
35;unknown;married;basic.9y;yes;no;telephone;may;thu;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
36;technician;married;high.school;no;no;telephone;jul;tue;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
36;admin.;married;basic.6y;no;no;telephone;may;thu;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
69;retired;divorced;university.degree;yes;no;cellular;apr;tue;2.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
31;blue-collar;married;basic.9y;no;no;telephone;may;fri;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
31;admin.;married;university.degree;yes;no;cellular;aug;mon;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
33;admin.;married;high.school;yes;yes;cellular;may;mon;1.0;failure;-1.8;92.893;-46.2;5099.1;no
47;technician;single;professional.course;yes;no;cellular;jul;mon;3.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
65;retired;married;basic.4y;yes;no;cellular;oct;wed;1.0;success;-1.1;94.601;-49.5;4963.6;yes
34;entrepreneur;married;high.school;no;no;telephone;may;wed;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
50;technician;married;basic.6y;yes;no;telephone;jun;fri;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
45;admin.;divorced;university.degree;no;no;cellular;may;mon;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
41;self-employed;married;basic.9y;no;no;cellular;apr;fri;1.0;failure;-1.8;93.075;-47.1;5099.1;no
35;blue-collar;divorced;basic.4y;yes;yes;telephone;may;wed;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
42;management;single;university.degree;yes;no;cellular;oct;mon;1.0;nonexistent;-3.4;92.431;-26.9;5017.5;yes
49;blue-collar;married;basic.6y;yes;no;telephone;may;thu;5.0;nonexistent;1.1;93.994;-36.4;5191.0;no
38;blue-collar;married;basic.6y;yes;no;telephone;may;fri;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
33;admin.;divorced;high.school;no;no;cellular;aug;tue;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
30;blue-collar;married;basic.4y;no;no;telephone;may;fri;3.0;failure;-1.8;92.893;-46.2;5099.1;no
46;unknown;married;basic.6y;no;no;telephone;may;thu;5.0;nonexistent;1.1;93.994;-36.4;5191.0;no
42;blue-collar;married;basic.6y;yes;yes;cellular;mar;tue;1.0;failure;-1.8;93.369;-34.8;5008.7;yes
25;admin.;single;professional.course;yes;no;cellular;apr;wed;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
58;management;single;professional.course;no;no;telephone;may;wed;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
37;admin.;married;high.school;no;no;cellular;jul;tue;1.0;nonexistent;-2.9;92.469;-33.6;5076.2;no
42;technician;divorced;high.school;no;no;cellular;aug;wed;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
31;services;married;high.school;yes;no;cellular;jun;wed;2.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
49;self-employed;divorced;university.degree;yes;no;cellular;jul;wed;2.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
36;admin.;single;high.school;yes;yes;telephone;may;mon;4.0;nonexistent;1.1;93.994;-36.4;5191.0;no
29;technician;single;professional.course;no;no;cellular;nov;tue;2.0;success;-1.1;94.767;-50.8;4963.6;yes
34;admin.;married;university.degree;yes;no;cellular;may;mon;1.0;failure;-1.8;92.893;-46.2;5099.1;no
31;services;single;basic.9y;no;no;telephone;may;fri;5.0;nonexistent;1.1;93.994;-36.4;5191.0;yes
30;management;single;university.degree;yes;no;cellular;may;fri;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
39;self-employed;single;university.degree;no;no;cellular;may;tue;2.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
29;technician;single;professional.course;yes;no;cellular;nov;fri;2.0;nonexistent;-0.1;93.2;-42.0;5195.8;yes
26;admin.;single;university.degree;unknown;unknown;cellular;jun;tue;2.0;success;-2.9;92.963;-40.8;5076.2;yes
41;technician;married;professional.course;yes;no;cellular;aug;wed;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
54;blue-collar;married;basic.4y;yes;no;cellular;apr;thu;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;no
45;technician;married;university.degree;yes;yes;telephone;may;tue;1.0;nonexistent;1.1;93.994;-36.4;5191.0;yes
47;blue-collar;married;basic.4y;no;no;telephone;jun;mon;1.0;nonexistent;1.4;94.465;-41.8;5228.1;no
24;student;single;high.school;yes;no;cellular;dec;thu;3.0;nonexistent;-3.0;92.713;-33.0;5023.5;yes
39;admin.;divorced;university.degree;no;no;cellular;aug;mon;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
44;technician;married;university.degree;yes;no;telephone;jun;wed;1.0;failure;-1.7;94.055;-39.8;4991.6;yes
34;management;married;university.degree;yes;yes;cellular;apr;mon;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
36;admin.;single;high.school;yes;no;telephone;jun;mon;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
35;admin.;married;university.degree;yes;no;cellular;apr;thu;1.0;success;-1.8;93.749;-34.6;5008.7;yes
49;entrepreneur;married;university.degree;yes;no;cellular;apr;mon;1.0;failure;-1.8;93.075;-47.1;5099.1;no
50;entrepreneur;married;university.degree;yes;no;cellular;nov;wed;2.0;failure;-0.1;93.2;-42.0;5195.8;no
40;admin.;married;professional.course;unknown;unknown;cellular;may;tue;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
44;technician;married;professional.course;yes;no;telephone;jun;fri;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
56;blue-collar;married;basic.9y;yes;no;cellular;nov;thu;1.0;failure;-0.1;93.2;-42.0;5195.8;yes
38;technician;married;university.degree;yes;no;cellular;aug;wed;4.0;nonexistent;-2.9;92.201;-31.4;5076.2;yes
31;admin.;married;university.degree;no;no;cellular;aug;tue;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
43;admin.;married;university.degree;no;no;cellular;apr;thu;4.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
31;management;married;university.degree;no;no;cellular;jun;tue;1.0;nonexistent;-2.9;92.963;-40.8;5076.2;no
64;admin.;married;high.school;no;no;cellular;jul;thu;1.0;nonexistent;-1.7;94.215;-40.3;4991.6;yes
56;admin.;divorced;high.school;yes;no;telephone;may;tue;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
49;technician;single;university.degree;yes;no;cellular;apr;thu;2.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
27;services;single;high.school;no;no;cellular;jul;mon;3.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
30;admin.;single;university.degree;yes;no;cellular;jul;tue;2.0;nonexistent;1.4;93.918;-42.7;5228.1;no
21;student;single;high.school;no;no;cellular;aug;thu;2.0;success;-2.9;92.201;-31.4;5076.2;no
45;admin.;married;university.degree;no;no;cellular;aug;fri;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
50;blue-collar;married;basic.4y;no;yes;cellular;jul;tue;2.0;nonexistent;1.4;93.918;-42.7;5228.1;no
57;retired;married;high.school;no;no;telephone;may;mon;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
29;services;single;high.school;no;yes;telephone;may;tue;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
38;blue-collar;married;basic.6y;yes;no;telephone;jun;fri;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
47;blue-collar;married;basic.6y;yes;no;cellular;aug;tue;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
28;technician;married;high.school;yes;no;telephone;may;thu;2.0;nonexistent;1.1;93.994;-36.4;5191.0;no
41;services;married;high.school;yes;yes;telephone;may;mon;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
49;management;married;university.degree;yes;no;cellular;apr;thu;1.0;failure;-1.8;93.075;-47.1;5099.1;yes
29;technician;single;basic.9y;no;no;cellular;may;thu;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
28;admin.;single;university.degree;yes;no;cellular;may;mon;2.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
58;retired;divorced;high.school;no;no;cellular;aug;thu;2.0;failure;-2.9;92.201;-31.4;5076.2;yes
30;technician;married;university.degree;no;no;telephone;may;tue;4.0;nonexistent;1.1;93.994;-36.4;5191.0;no
24;entrepreneur;single;university.degree;yes;no;cellular;jul;tue;3.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
39;admin.;divorced;university.degree;no;no;cellular;aug;thu;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
27;student;single;basic.9y;yes;yes;cellular;jun;tue;1.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
38;blue-collar;divorced;unknown;no;no;telephone;jun;fri;1.0;nonexistent;1.4;94.465;-41.8;5228.1;no
46;housemaid;married;high.school;yes;no;cellular;aug;fri;1.0;nonexistent;-2.9;92.201;-31.4;5076.2;yes
36;housemaid;married;basic.4y;no;no;telephone;may;mon;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
78;retired;married;basic.4y;yes;no;cellular;apr;tue;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
39;technician;married;university.degree;unknown;unknown;cellular;aug;fri;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
39;admin.;married;high.school;yes;no;cellular;dec;wed;3.0;failure;-3.0;92.713;-33.0;5023.5;no
22;student;single;basic.9y;no;no;cellular;oct;fri;1.0;failure;-3.4;92.431;-26.9;5017.5;yes
25;admin.;single;university.degree;no;no;telephone;aug;tue;3.0;nonexistent;-2.9;92.201;-31.4;5076.2;no
42;technician;married;university.degree;no;yes;cellular;aug;thu;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
43;management;married;university.degree;no;no;cellular;jun;thu;1.0;nonexistent;-1.7;94.055;-39.8;4991.6;no
37;services;married;high.school;yes;no;cellular;may;wed;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
35;blue-collar;married;high.school;no;no;cellular;may;tue;1.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
36;admin.;married;university.degree;no;no;cellular;may;tue;4.0;nonexistent;-1.8;93.876;-40.0;5008.7;yes
25;self-employed;divorced;university.degree;no;no;cellular;apr;mon;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
36;admin.;married;high.school;no;no;telephone;jun;fri;4.0;nonexistent;1.4;94.465;-41.8;5228.1;no
44;admin.;single;university.degree;yes;no;telephone;jun;fri;6.0;nonexistent;1.4;94.465;-41.8;5228.1;no
47;admin.;married;high.school;yes;no;cellular;aug;mon;3.0;nonexistent;1.4;93.444;-36.1;5228.1;yes
37;management;single;basic.9y;no;no;cellular;oct;thu;1.0;nonexistent;-3.4;92.431;-26.9;5017.5;yes
36;admin.;married;university.degree;yes;no;cellular;jul;wed;2.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
32;technician;single;professional.course;yes;no;cellular;jul;wed;2.0;nonexistent;1.4;93.918;-42.7;5228.1;no
31;technician;single;university.degree;yes;no;cellular;nov;thu;5.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
34;technician;single;professional.course;yes;no;cellular;aug;tue;2.0;success;-2.9;92.201;-31.4;5076.2;yes
32;services;single;basic.6y;unknown;unknown;telephone;jun;thu;3.0;nonexistent;1.4;94.465;-41.8;5228.1;no
32;admin.;married;university.degree;yes;no;cellular;aug;wed;1.0;nonexistent;1.4;93.444;-36.1;5228.1;yes
54;admin.;single;university.degree;yes;no;cellular;nov;tue;1.0;failure;-0.1;93.2;-42.0;5195.8;no
21;student;single;high.school;no;no;cellular;jun;thu;1.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
38;admin.;single;university.degree;no;no;telephone;may;tue;5.0;nonexistent;1.1;93.994;-36.4;5191.0;no
36;blue-collar;married;high.school;no;no;telephone;may;thu;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
35;admin.;married;high.school;no;no;cellular;jul;wed;1.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
38;admin.;married;university.degree;yes;yes;cellular;aug;mon;3.0;nonexistent;1.4;93.444;-36.1;5228.1;no
31;admin.;married;university.degree;yes;no;telephone;jul;wed;4.0;nonexistent;1.4;93.918;-42.7;5228.1;no
32;admin.;married;university.degree;no;no;telephone;jul;thu;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
55;technician;married;university.degree;no;yes;cellular;aug;wed;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
29;admin.;single;high.school;no;no;cellular;aug;fri;1.0;nonexistent;-2.9;92.201;-31.4;5076.2;yes
37;admin.;married;university.degree;no;yes;cellular;aug;thu;3.0;nonexistent;1.4;93.444;-36.1;5228.1;yes
36;services;married;high.school;no;no;cellular;jul;mon;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
35;services;married;basic.6y;no;no;cellular;may;mon;2.0;success;-1.8;92.893;-46.2;5099.1;yes
41;technician;single;professional.course;no;no;telephone;may;fri;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
48;admin.;married;university.degree;no;no;cellular;nov;fri;3.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
29;admin.;divorced;university.degree;yes;no;cellular;jun;wed;3.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
25;admin.;single;university.degree;yes;yes;cellular;oct;fri;1.0;failure;-3.4;92.431;-26.9;5017.5;yes
56;retired;married;basic.6y;yes;no;cellular;aug;wed;4.0;nonexistent;1.4;93.444;-36.1;5228.1;no
30;technician;single;professional.course;yes;no;cellular;aug;fri;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
22;admin.;single;university.degree;no;no;cellular;apr;fri;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
27;blue-collar;single;basic.6y;no;yes;telephone;may;fri;4.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
26;technician;married;professional.course;no;no;telephone;may;fri;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
42;blue-collar;single;basic.4y;yes;no;cellular;may;thu;3.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
41;technician;married;professional.course;yes;no;cellular;may;thu;4.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
34;technician;married;university.degree;yes;no;cellular;aug;fri;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
36;entrepreneur;divorced;university.degree;yes;no;cellular;nov;mon;1.0;failure;-0.1;93.2;-42.0;5195.8;no
30;admin.;single;university.degree;no;no;cellular;apr;thu;1.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
36;blue-collar;single;basic.9y;yes;no;cellular;nov;tue;2.0;failure;-0.1;93.2;-42.0;5195.8;no
42;management;single;university.degree;no;no;cellular;oct;fri;2.0;nonexistent;-3.4;92.431;-26.9;5017.5;yes
45;entrepreneur;married;university.degree;no;no;telephone;may;thu;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
25;blue-collar;married;basic.9y;yes;no;telephone;may;wed;1.0;nonexistent;1.1;93.994;-36.4;5191.0;no
73;retired;married;basic.4y;no;no;cellular;aug;mon;1.0;nonexistent;-2.9;92.201;-31.4;5076.2;yes
46;management;divorced;high.school;yes;yes;cellular;nov;wed;2.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
47;technician;divorced;high.school;no;yes;cellular;jul;thu;1.0;nonexistent;1.4;93.918;-42.7;5228.1;no
48;entrepreneur;married;university.degree;yes;no;cellular;may;fri;1.0;failure;-1.8;92.893;-46.2;5099.1;yes
