month;hour;holiday;weekday;workingday;temperature;humidity;windspeed;count;weather_clear;weather_cloudy;weather_heavy rain/snow;weather_light rain/snow
12;6;0.0;4;True;6.1;65.0;0.0;118;False;True;False;False
11;9;0.0;3;True;6.1;52.0;26.0;332;True;False;False;False
8;3;0.0;4;True;21.14;83.0;6.0;9;True;False;False;False
5;8;0.0;4;True;21.14;73.0;9.0;692;True;False;False;False
10;13;0.0;6;False;22.08;57.0;35.0;710;False;True;False;False
12;15;0.0;5;True;10.8;47.0;11.0;309;True;False;False;False
7;21;0.0;0;False;25.84;70.0;9.0;271;True;False;False;False
2;14;0.0;3;True;6.1;56.0;11.0;108;False;True;False;False
11;1;0.0;3;True;3.28;60.0;20.0;12;True;False;False;False
1;22;0.0;2;True;7.04;81.0;0.0;125;True;False;False;False
10;10;0.0;5;True;23.02;54.0;0.0;260;True;False;False;False
1;21;0.0;3;True;6.1;65.0;0.0;185;True;False;False;False
10;18;0.0;0;False;16.44;39.0;13.0;413;True;False;False;False
1;20;0.0;3;True;2.34;37.0;17.0;165;True;False;False;False
7;21;0.0;3;True;25.84;58.0;15.0;391;True;False;False;False
9;23;0.0;2;True;17.38;68.0;7.0;109;True;False;False;False
8;20;0.0;0;False;22.08;73.0;13.0;274;False;True;False;False
4;4;0.0;1;True;6.1;81.0;19.0;3;False;False;False;True
7;8;0.0;1;True;23.02;83.0;11.0;455;False;True;False;False
2;9;0.0;4;True;6.1;70.0;11.0;202;False;True;False;False
1;5;0.0;0;False;-0.48;47.0;22.0;5;False;True;False;False
11;7;0.0;5;True;3.28;81.0;0.0;77;True;False;False;False
7;0;0.0;6;False;28.66;66.0;9.0;150;True;False;False;False
4;16;0.0;3;True;11.74;77.0;15.0;235;False;True;False;False
2;5;0.0;0;False;-3.3;49.0;26.0;3;True;False;False;False
3;6;0.0;6;False;16.44;83.0;11.0;28;False;True;False;False
9;7;0.0;0;False;17.38;73.0;11.0;70;True;False;False;False
12;18;0.0;1;True;15.5;68.0;6.0;692;True;False;False;False
12;17;0.0;1;True;3.28;93.0;11.0;26;False;False;False;True
12;11;0.0;3;True;12.68;44.0;19.0;172;True;False;False;False
11;1;0.0;2;True;7.98;66.0;7.0;13;True;False;False;False
4;12;0.0;4;True;12.68;33.0;0.0;276;True;False;False;False
4;6;0.0;4;True;10.8;82.0;7.0;120;False;True;False;False
7;15;0.0;6;False;37.12;26.0;0.0;306;True;False;False;False
2;11;0.0;3;True;4.22;65.0;15.0;102;False;True;False;False
9;6;0.0;6;False;23.96;79.0;0.0;36;True;False;False;False
12;11;0.0;3;True;10.8;54.0;15.0;200;True;False;False;False
5;13;0.0;3;True;22.08;53.0;17.0;266;False;True;False;False
8;23;0.0;1;True;24.9;70.0;15.0;128;True;False;False;False
6;9;0.0;3;True;18.32;60.0;6.0;303;True;False;False;False
1;21;0.0;0;False;12.68;67.0;17.0;71;False;True;False;False
12;11;0.0;5;True;5.16;52.0;15.0;178;False;True;False;False
3;21;0.0;2;True;18.32;73.0;0.0;277;True;False;False;False
10;1;0.0;5;True;10.8;66.0;6.0;37;True;False;False;False
1;15;0.0;0;False;8.92;25.0;19.0;310;True;False;False;False
10;17;0.0;2;True;16.44;39.0;13.0;943;True;False;False;False
7;3;0.0;5;True;24.9;74.0;11.0;12;True;False;False;False
6;2;0.0;6;False;22.08;89.0;0.0;61;False;True;False;False
3;22;0.0;1;True;3.28;35.0;22.0;78;True;False;False;False
7;22;0.0;6;False;31.48;59.0;13.0;220;True;False;False;False
11;19;0.0;4;True;10.8;50.0;11.0;452;False;True;False;False
11;18;0.0;5;True;7.98;61.0;0.0;509;False;True;False;False
8;1;0.0;4;True;23.96;79.0;7.0;42;True;False;False;False
12;15;0.0;3;True;11.74;50.0;19.0;237;True;False;False;False
10;2;0.0;5;True;17.38;73.0;6.0;11;True;False;False;False
1;17;0.0;5;True;2.34;32.0;6.0;349;False;True;False;False
1;0;0.0;5;True;4.22;48.0;20.0;27;False;True;False;False
3;20;0.0;1;True;10.8;26.0;35.0;221;True;False;False;False
3;10;0.0;4;True;13.62;47.0;30.0;166;True;False;False;False
7;22;0.0;2;True;26.78;66.0;17.0;269;True;False;False;False
1;0;0.0;5;True;10.8;71.0;19.0;42;False;True;False;False
4;12;0.0;0;False;22.08;44.0;19.0;635;True;False;False;False
2;11;0.0;5;True;8.92;81.0;7.0;163;False;True;False;False
3;10;0.0;4;True;16.44;68.0;7.0;164;True;False;False;False
2;20;0.0;6;False;3.28;93.0;13.0;77;False;False;False;True
12;17;0.0;0;False;7.04;49.0;13.0;114;True;False;False;False
6;13;0.0;5;True;36.18;38.0;13.0;239;True;False;False;False
12;4;0.0;5;True;4.22;75.0;7.0;10;True;False;False;False
12;23;0.0;1;True;11.74;82.0;7.0;102;True;False;False;False
10;5;0.0;6;False;6.1;61.0;13.0;11;True;False;False;False
8;10;0.0;2;True;24.9;79.0;7.0;208;True;False;False;False
7;10;0.0;5;True;24.9;79.0;11.0;233;False;True;False;False
2;0;0.0;3;True;6.1;56.0;15.0;23;True;False;False;False
7;22;0.0;2;True;29.6;55.0;15.0;244;True;False;False;False
11;6;0.0;5;True;6.1;70.0;11.0;122;True;False;False;False
7;13;0.0;1;True;27.72;55.0;17.0;255;False;True;False;False
1;21;0.0;1;True;6.1;42.0;11.0;162;True;False;False;False
12;8;0.0;1;True;8.92;93.0;0.0;731;True;False;False;False
11;0;0.0;6;False;7.04;76.0;6.0;122;True;False;False;False
1;18;0.0;1;True;1.4;86.0;6.0;164;False;False;True;False
7;22;0.0;1;True;24.9;74.0;15.0;230;False;True;False;False
6;18;0.0;2;True;20.2;43.0;13.0;790;True;False;False;False
11;14;0.0;0;False;20.2;33.0;11.0;654;True;False;False;False
5;18;0.0;0;False;21.14;61.0;13.0;463;False;True;False;False
6;6;0.0;1;True;22.08;78.0;11.0;158;True;False;False;False
2;8;0.0;2;True;4.22;48.0;19.0;559;True;False;False;False
7;12;0.0;1;True;31.48;32.0;13.0;257;True;False;False;False
9;10;0.0;6;False;23.02;65.0;22.0;474;True;False;False;False
8;4;0.0;3;True;22.08;83.0;7.0;4;True;False;False;False
9;16;1.0;1;False;26.78;70.0;15.0;500;True;False;False;False
7;18;0.0;2;True;27.72;55.0;19.0;857;True;False;False;False
6;6;0.0;4;True;13.62;88.0;7.0;170;True;False;False;False
8;8;0.0;0;False;23.02;54.0;15.0;119;True;False;False;False
1;4;1.0;1;False;5.16;45.0;22.0;4;True;False;False;False
5;22;0.0;4;True;21.14;78.0;0.0;246;True;False;False;False
5;15;0.0;0;False;28.66;52.0;19.0;535;True;False;False;False
7;7;0.0;6;False;19.26;88.0;17.0;37;False;True;False;False
8;10;0.0;6;False;25.84;62.0;6.0;407;True;False;False;False
12;18;0.0;5;True;8.92;46.0;9.0;455;True;False;False;False
8;17;0.0;1;True;24.9;58.0;19.0;893;True;False;False;False
6;15;0.0;2;True;28.66;59.0;11.0;259;True;False;False;False
1;15;0.0;0;False;-0.48;80.0;13.0;176;False;True;False;False
4;19;0.0;3;True;20.2;20.0;13.0;543;True;False;False;False
1;22;0.0;2;True;-3.3;46.0;17.0;33;True;False;False;False
2;2;0.0;3;True;7.98;66.0;19.0;6;True;False;False;False
9;6;0.0;5;True;18.32;94.0;6.0;138;False;True;False;False
6;19;0.0;5;True;21.14;88.0;24.0;45;False;False;False;True
11;12;0.0;0;False;15.5;48.0;6.0;585;True;False;False;False
10;4;0.0;6;False;6.1;65.0;11.0;11;True;False;False;False
9;17;0.0;0;False;24.9;37.0;17.0;671;True;False;False;False
11;3;0.0;4;True;4.22;70.0;6.0;2;False;True;False;False
7;13;0.0;3;True;29.6;42.0;11.0;273;False;True;False;False
6;3;0.0;5;True;25.84;58.0;13.0;8;True;False;False;False
12;13;0.0;4;True;8.92;57.0;13.0;217;False;True;False;False
10;16;0.0;3;True;11.74;54.0;15.0;424;False;True;False;False
8;20;0.0;6;False;21.14;83.0;17.0;241;False;False;False;True
5;18;0.0;2;True;29.6;49.0;33.0;710;True;False;False;False
7;11;0.0;5;True;27.72;45.0;9.0;288;False;True;False;False
