month;hour;holiday;weekday;workingday;weather;temperature;humidity;windspeed;count
12;6;0.0;4;True;1;6.1;65.0;0.0;118
11;9;0.0;3;True;0;6.1;52.0;26.0;332
8;3;0.0;4;True;0;21.14;83.0;6.0;9
5;8;0.0;4;True;0;21.14;73.0;9.0;692
10;13;0.0;6;False;1;22.08;57.0;35.0;710
12;15;0.0;5;True;0;10.8;47.0;11.0;309
7;21;0.0;0;False;0;25.84;70.0;9.0;271
2;14;0.0;3;True;1;6.1;56.0;11.0;108
11;1;0.0;3;True;0;3.28;60.0;20.0;12
1;22;0.0;2;True;0;7.04;81.0;0.0;125
10;10;0.0;5;True;0;23.02;54.0;0.0;260
1;21;0.0;3;True;0;6.1;65.0;0.0;185
10;18;0.0;0;False;0;16.44;39.0;13.0;413
1;20;0.0;3;True;0;2.34;37.0;17.0;165
7;21;0.0;3;True;0;25.84;58.0;15.0;391
9;23;0.0;2;True;0;17.38;68.0;7.0;109
8;20;0.0;0;False;1;22.08;73.0;13.0;274
4;4;0.0;1;True;3;6.1;81.0;19.0;3
7;8;0.0;1;True;1;23.02;83.0;11.0;455
2;9;0.0;4;True;1;6.1;70.0;11.0;202
1;5;0.0;0;False;1;-0.48;47.0;22.0;5
11;7;0.0;5;True;0;3.28;81.0;0.0;77
7;0;0.0;6;False;0;28.66;66.0;9.0;150
4;16;0.0;3;True;1;11.74;77.0;15.0;235
2;5;0.0;0;False;0;-3.3;49.0;26.0;3
3;6;0.0;6;False;1;16.44;83.0;11.0;28
9;7;0.0;0;False;0;17.38;73.0;11.0;70
12;18;0.0;1;True;0;15.5;68.0;6.0;692
12;17;0.0;1;True;3;3.28;93.0;11.0;26
12;11;0.0;3;True;0;12.68;44.0;19.0;172
11;1;0.0;2;True;0;7.98;66.0;7.0;13
4;12;0.0;4;True;0;12.68;33.0;0.0;276
4;6;0.0;4;True;1;10.8;82.0;7.0;120
7;15;0.0;6;False;0;37.12;26.0;0.0;306
2;11;0.0;3;True;1;4.22;65.0;15.0;102
9;6;0.0;6;False;0;23.96;79.0;0.0;36
12;11;0.0;3;True;0;10.8;54.0;15.0;200
5;13;0.0;3;True;1;22.08;53.0;17.0;266
8;23;0.0;1;True;0;24.9;70.0;15.0;128
6;9;0.0;3;True;0;18.32;60.0;6.0;303
1;21;0.0;0;False;1;12.68;67.0;17.0;71
12;11;0.0;5;True;1;5.16;52.0;15.0;178
3;21;0.0;2;True;0;18.32;73.0;0.0;277
10;1;0.0;5;True;0;10.8;66.0;6.0;37
1;15;0.0;0;False;0;8.92;25.0;19.0;310
10;17;0.0;2;True;0;16.44;39.0;13.0;943
7;3;0.0;5;True;0;24.9;74.0;11.0;12
6;2;0.0;6;False;1;22.08;89.0;0.0;61
3;22;0.0;1;True;0;3.28;35.0;22.0;78
7;22;0.0;6;False;0;31.48;59.0;13.0;220
11;19;0.0;4;True;1;10.8;50.0;11.0;452
11;18;0.0;5;True;1;7.98;61.0;0.0;509
8;1;0.0;4;True;0;23.96;79.0;7.0;42
12;15;0.0;3;True;0;11.74;50.0;19.0;237
10;2;0.0;5;True;0;17.38;73.0;6.0;11
1;17;0.0;5;True;1;2.34;32.0;6.0;349
1;0;0.0;5;True;1;4.22;48.0;20.0;27
3;20;0.0;1;True;0;10.8;26.0;35.0;221
3;10;0.0;4;True;0;13.62;47.0;30.0;166
7;22;0.0;2;True;0;26.78;66.0;17.0;269
1;0;0.0;5;True;1;10.8;71.0;19.0;42
4;12;0.0;0;False;0;22.08;44.0;19.0;635
2;11;0.0;5;True;1;8.92;81.0;7.0;163
3;10;0.0;4;True;0;16.44;68.0;7.0;164
2;20;0.0;6;False;3;3.28;93.0;13.0;77
12;17;0.0;0;False;0;7.04;49.0;13.0;114
6;13;0.0;5;True;0;36.18;38.0;13.0;239
12;4;0.0;5;True;0;4.22;75.0;7.0;10
12;23;0.0;1;True;0;11.74;82.0;7.0;102
10;5;0.0;6;False;0;6.1;61.0;13.0;11
8;10;0.0;2;True;0;24.9;79.0;7.0;208
7;10;0.0;5;True;1;24.9;79.0;11.0;233
2;0;0.0;3;True;0;6.1;56.0;15.0;23
7;22;0.0;2;True;0;29.6;55.0;15.0;244
11;6;0.0;5;True;0;6.1;70.0;11.0;122
7;13;0.0;1;True;1;27.72;55.0;17.0;255
1;21;0.0;1;True;0;6.1;42.0;11.0;162
12;8;0.0;1;True;0;8.92;93.0;0.0;731
11;0;0.0;6;False;0;7.04;76.0;6.0;122
1;18;0.0;1;True;2;1.4;86.0;6.0;164
7;22;0.0;1;True;1;24.9;74.0;15.0;230
6;18;0.0;2;True;0;20.2;43.0;13.0;790
11;14;0.0;0;False;0;20.2;33.0;11.0;654
5;18;0.0;0;False;1;21.14;61.0;13.0;463
