month;hour;holiday;weekday;workingday;weather;temperature;humidity;windspeed;count;set
10;3;0.0;0;False;1;12.68;62.0;9.0;22;train
7;11;0.0;6;False;1;20.2;83.0;17.0;305;train
3;3;0.0;4;True;0;16.44;83.0;6.0;7;train
2;6;0.0;5;True;1;5.16;96.0;9.0;71;train
1;14;0.0;4;True;0;11.74;77.0;11.0;156;train
11;1;0.0;2;True;0;7.98;66.0;7.0;13;train
9;2;0.0;4;True;0;13.62;72.0;6.0;11;train
11;15;0.0;1;True;0;12.68;54.0;13.0;257;train
2;0;0.0;1;True;0;-1.42;46.0;15.0;9;train
6;15;0.0;6;False;0;22.08;38.0;17.0;702;train
11;10;0.0;3;True;0;7.04;45.0;24.0;171;train
1;17;0.0;0;False;1;-0.48;80.0;7.0;108;train
5;11;0.0;4;True;0;17.38;77.0;0.0;201;train
1;15;0.0;6;False;0;10.8;47.0;22.0;410;train
1;6;0.0;4;True;1;1.4;75.0;9.0;78;train
12;16;0.0;4;True;1;4.22;52.0;19.0;174;train
10;20;0.0;3;True;0;16.44;48.0;33.0;392;train
5;20;0.0;6;False;0;23.96;41.0;6.0;315;train
5;16;0.0;4;True;0;26.78;55.0;24.0;390;train
9;11;0.0;5;True;1;23.96;61.0;7.0;280;train
1;7;0.0;5;True;1;3.28;65.0;0.0;205;train
4;7;0.0;3;True;1;15.5;39.0;13.0;418;train
1;4;0.0;4;True;3;8.92;93.0;13.0;2;train
7;15;0.0;6;False;0;37.12;26.0;0.0;306;train
11;4;0.0;5;True;0;2.34;75.0;0.0;3;train
5;2;0.0;5;True;0;19.26;83.0;9.0;11;train
3;15;0.0;4;True;0;22.08;38.0;46.0;185;train
1;13;0.0;0;False;0;10.8;37.0;20.0;343;train
5;3;0.0;0;False;1;17.38;64.0;9.0;28;train
9;2;0.0;2;True;0;11.74;77.0;9.0;14;train
6;0;0.0;6;False;0;22.08;83.0;0.0;116;train
10;9;0.0;0;False;3;10.8;71.0;9.0;86;train
2;13;0.0;6;False;1;6.1;70.0;13.0;302;train
1;13;0.0;3;True;0;6.1;42.0;31.0;130;train
7;23;0.0;2;True;1;23.02;83.0;11.0;147;train
10;3;0.0;4;True;0;12.68;88.0;15.0;5;train
9;5;0.0;4;True;0;12.68;77.0;7.0;56;train
1;4;0.0;0;False;3;-0.48;80.0;19.0;2;train
11;15;0.0;0;False;0;6.1;42.0;17.0;245;train
5;16;0.0;1;True;3;21.14;69.0;19.0;111;train
10;4;0.0;0;False;1;12.68;54.0;17.0;11;train
6;23;0.0;5;True;3;20.2;88.0;9.0;73;train
9;4;0.0;6;False;1;20.2;69.0;24.0;6;train
1;18;0.0;1;True;2;1.4;86.0;6.0;164;train
8;8;0.0;2;True;1;24.9;70.0;11.0;705;train
3;7;0.0;3;True;0;12.68;82.0;7.0;368;train
5;3;0.0;4;True;1;20.2;88.0;7.0;4;train
8;20;0.0;3;True;0;22.08;73.0;13.0;391;train
6;21;0.0;5;True;3;23.96;65.0;19.0;217;train
9;18;0.0;3;True;0;19.26;40.0;19.0;892;train
8;18;0.0;3;True;1;28.66;55.0;11.0;862;train
12;6;0.0;5;True;0;-0.48;80.0;7.0;113;train
6;21;0.0;4;True;0;30.54;52.0;13.0;311;train
1;0;0.0;5;True;1;10.8;71.0;19.0;42;train
8;17;0.0;6;False;1;23.02;74.0;22.0;403;train
2;2;0.0;2;True;0;10.8;54.0;7.0;3;train
12;2;0.0;1;True;1;9.86;94.0;0.0;5;train
10;3;0.0;0;False;1;15.5;63.0;22.0;79;train
7;4;0.0;2;True;0;23.96;79.0;9.0;4;train
8;21;0.0;6;False;1;23.02;89.0;11.0;128;train
1;8;0.0;6;False;0;1.4;80.0;6.0;91;train
10;15;0.0;4;True;1;20.2;60.0;13.0;353;train
3;21;0.0;0;False;0;11.74;54.0;15.0;147;train
10;15;0.0;3;True;0;20.2;40.0;11.0;319;train
10;8;0.0;3;True;0;7.04;81.0;9.0;621;train
4;21;0.0;3;True;0;7.98;57.0;26.0;165;train
3;8;0.0;3;True;0;9.86;46.0;24.0;658;train
12;1;1.0;2;False;1;4.22;87.0;11.0;13;train
6;15;0.0;6;False;0;33.36;30.0;17.0;404;train
3;19;0.0;2;True;0;22.08;47.0;15.0;479;train
2;5;0.0;6;False;0;3.28;70.0;6.0;1;train
11;21;0.0;0;False;0;8.92;66.0;17.0;110;train
11;1;1.0;1;False;0;10.8;76.0;11.0;30;train
10;8;0.0;2;True;3;20.2;88.0;0.0;134;train
9;21;0.0;5;True;0;24.9;74.0;11.0;301;train
5;17;0.0;4;True;0;26.78;55.0;19.0;798;train
4;21;0.0;0;False;1;15.5;59.0;11.0;134;train
10;13;0.0;5;True;0;21.14;73.0;15.0;375;train
6;16;0.0;1;True;1;20.2;73.0;13.0;332;train
4;21;0.0;6;False;1;18.32;43.0;9.0;220;train
1;6;0.0;1;True;0;2.34;44.0;17.0;80;train
3;21;0.0;6;False;0;6.1;39.0;15.0;110;train
11;8;0.0;6;False;0;7.04;76.0;0.0;146;train
7;18;0.0;6;False;1;20.2;88.0;13.0;177;train
11;8;0.0;4;True;0;1.4;69.0;7.0;679;train
7;16;0.0;2;True;1;34.3;24.0;13.0;527;train
9;7;0.0;4;True;0;20.2;78.0;0.0;558;train
8;8;0.0;3;True;1;23.02;78.0;13.0;681;train
10;3;0.0;1;True;0;12.68;77.0;0.0;7;train
8;12;0.0;5;True;1;32.42;50.0;20.0;338;train
4;23;0.0;6;False;1;9.86;76.0;6.0;42;train
